Ano;Especie;Quantidade
1994;Eucalipto;34149
1995;Eucalipto;26160
1996;Eucalipto;119054
1997;Eucalipto;120096
1998;Eucalipto;116811
1999;Eucalipto;109687
2000;Eucalipto;111296
2001;Eucalipto;54043
2002;Eucalipto;57794
2003;Eucalipto;37851
2004;Eucalipto;33572
2005;Eucalipto;60319
2006;Eucalipto;48364
2007;Eucalipto;53084
2008;Eucalipto;58326
2009;Eucalipto;64077
2010;Eucalipto;96907
2011;Eucalipto;56797
2012;Eucalipto;46474
2013;Eucalipto;141351184
2013;Pinus;42026875
2014;Eucalipto;140996738
2014;Pinus;39614054
2015;Eucalipto;140089004
2015;Pinus;37709312
2016;Eucalipto;145423644
2016;Pinus;40909021
2017;Eucalipto;147129980
2017;Pinus;43957530
2018;Eucalipto;155151788
2018;Pinus;42526301
2019;Eucalipto;140659567
2019;Pinus;40642360
2020;Eucalipto;148747388
2020;Pinus;45734584
2021;Eucalipto;153605093
2021;Pinus;47585370
2022;Eucalipto;172849081
2022;Pinus;48936989
2023;Eucalipto;182320901
2023;Pinus;47812428
